Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0022297881096239","-0,000937529913435931","0,0375283758051956",0,0,0,"0,725764187632783","0,00260667894961256","-2,06641366246688E-06","-4,51471929494189E-05","0,00634991698764481","1,79850575748149E-05","0,00843754522990492",0,0,0,0,0,0,package://car_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_urdf/meshes/base_link.STL,,pieza1_1-1;pieza3-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Rueda_izquierda_del_link,"1,72244410720085E-05","-3,08770137943844E-05","-0,0187646103151318",0,0,0,"0,118314512818582","2,81559000731179E-05","-4,33271975148988E-11","2,24538720923779E-11","2,81431703190276E-05","-1,01422218181531E-08","4,55341024054628E-05",0,0,0,0,0,0,package://car_urdf/meshes/Rueda_izquierda_del_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://car_urdf/meshes/Rueda_izquierda_del_link.STL,,Ensamblaje-R-1,Origin_Rueda_izquierda_del_joint,Eje10,Rueda_izquierda_del_joint,continuous,"0,11005","0,1295","0,026733","-1,5708",0,0,base_link,0,0,1,100,100,,,,,,,,,,
Rueda_derecha_del_link,"-2,01928690935771E-05","-3,56300614159852E-05","0,0187939302958306",0,0,0,"0,119066555707623","2,82629959834746E-05","-5,47837196675474E-10","3,98292245156214E-10","2,82506382127236E-05","1,01359536967652E-08","4,55976190910373E-05",0,0,0,0,0,0,package://car_urdf/meshes/Rueda_derecha_del_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://car_urdf/meshes/Rueda_derecha_del_link.STL,,Ensamblaje-ruedas-2,Origin_Rueda_derecha_del_joint,Eje9,Rueda_derecha_del_joint,continuous,"0,1104","-0,13066","0,02641","-1,5708",0,0,base_link,0,0,1,100,100,,,,,,,,,,
Rueda_izquierda_tras_link,"-1,16739382335779E-05","-3,9255221370698E-05","-0,0187939302958305",0,0,0,"0,119066555707623","2,82571265705397E-05","-6,19539965504122E-09","-7,02774899098708E-09","2,82565076256586E-05","-7,3148436876802E-09","4,55976190910372E-05",0,0,0,0,0,0,package://car_urdf/meshes/Rueda_izquierda_tras_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://car_urdf/meshes/Rueda_izquierda_tras_link.STL,,Ensamblaje-ruedas-1,Origin_Rueda_izquierda_tras_joint,Eje11,Rueda_izquierda_tras_joint,continuous,"-0,11021","0,13066","0,026148","-1,5708",0,0,base_link,0,0,1,100,100,,,,,,,,,,
Rueda_derecha_tras_link,"-1,26738293365902E-05","-3,30067478108674E-05","0,0187646103151317",0,0,0,"0,118314512818582","2,81556321484253E-05","1,82776066736024E-09","-1,41539356159966E-09","2,81434382437204E-05","1,00429989868958E-08","4,5534102405463E-05",0,0,0,0,0,0,package://car_urdf/meshes/Rueda_derecha_tras_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://car_urdf/meshes/Rueda_derecha_tras_link.STL,,Ensamblaje-R-2,Origin_Rueda_derecha_tras_joint,Eje12,Rueda_derecha_tras_joint,continuous,"-0,11002","-0,1295","0,026739","-1,5708",0,0,base_link,0,0,1,100,100,,,,,,,,,,
Waist,"-0,00643461174884599","0,00137211572604215","0,0172891660034206",0,0,0,"0,0680379022068553","5,81345017333013E-05","6,41799972080603E-07","5,17736092169231E-06","4,50193669493472E-05","-6,24321122973963E-06","5,46761452959707E-05",0,0,0,0,0,0,package://car_urdf/meshes/Waist.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://car_urdf/meshes/Waist.STL,,robotic arm 3d model-3/Waist_3-1,Origin_Waist_joint,Eje1,Waist_joint,revolute,"0,060849",0,"0,08987",0,0,"-1,5708",base_link,0,0,1,2,2,"-6,3","6,3",,,,,,,,
Shoulder,"0,00139575313800894","0,0591884192827652","0,00178931205327423",0,0,0,"0,0638892582495763","0,000106965780568813","-2,30785840852478E-06","5,40193300021624E-09","9,15502968245258E-06","2,39578766873951E-07","0,000111828463740695",0,0,0,0,0,0,package://car_urdf/meshes/Shoulder.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://car_urdf/meshes/Shoulder.STL,,robotic arm 3d model-3/Arm 01_5-1,Origin_Shoulder_joint,Eje2,Shoulder_joint,revolute,"0,002","0,013919","0,040276","1,5708",0,"1,5708",Waist,0,0,1,2,2,0,0,,,,,,,,
Elbow,"0,0392853132336417","-2,78813481829343E-05","0,00540885828941906",0,0,0,"0,0502673868102828","9,28666202376571E-06","6,9596027419289E-08","-2,87531520611829E-07","5,46008100377437E-05","7,20136938428753E-11","5,81488341772465E-05",0,0,0,0,0,0,package://car_urdf/meshes/Elbow.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://car_urdf/meshes/Elbow.STL,,robotic arm 3d model-3/Arm 02 v3_8-1,Origin_Elbow_joint,Eje3,Elbow_joint,revolute,"0,0028289","0,11997","-0,008","3,1416",0,0,Shoulder,0,0,1,2,2,"-3,3","0,8",,,,,,,,
Wrist_Roll,"0,00497214222074152","0,00533442843610391","0,0178414446624296",0,0,0,"0,0164994839371952","3,91251960534152E-06","-1,146730591232E-08","1,95869581478593E-08","5,02240887777995E-06","-5,75559028488487E-07","2,6123880151547E-06",0,0,0,0,0,0,package://car_urdf/meshes/Wrist_Roll.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://car_urdf/meshes/Wrist_Roll.STL,,robotic arm 3d model-3/Arm 03_9-1,Origin_Wrist_Roll_joint,Eje5,Wrist_Roll_joint,revolute,"0,08975","0,0053","0,0055","-1,5708",0,"-1,5708",Elbow,0,0,1,2,2,"-6,3","6,3",,,,,,,,
Wrist_pitch,"0,00584372490457619","0,0235511325024931","0,00189540333933991",0,0,0,"0,0157214038182333","8,10583599818438E-06","-1,38389387426708E-06","-3,6230375371134E-07","2,56045828198375E-06","-1,40941083334434E-06","7,25737022876247E-06",0,0,0,0,0,0,package://car_urdf/meshes/Wrist_pitch.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://car_urdf/meshes/Wrist_pitch.STL,,robotic arm 3d model-3/Gripper Assembly_11-1/Gripper base_15-1,Origin_Wrist_pitch_joint,Eje6,Wrist_pitch_joint,revolute,"0,0048045","0,014068","0,028","1,5708",0,0,Wrist_Roll,0,0,1,2,2,"-2,7","1,5",,,,,,,,
Left_gear,"9,84573017270562E-05","0,00569626374754378","-0,00200156536681623",0,0,0,"0,00256585966934385","3,59754543872306E-07","3,23719278974781E-08","1,20355718309172E-09","9,32670641947356E-08","-4,50901107440935E-10","4,4614578747537E-07",0,0,0,0,0,0,package://car_urdf/meshes/Left_gear.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://car_urdf/meshes/Left_gear.STL,,robotic arm 3d model-3/Gripper Assembly_11-1/gear2_13-1,Origin_Left_gear_joint,Eje14,Left_gear_joint,revolute,"0,018248","0,038","0,017648",0,"1,5708",0,Wrist_pitch,0,0,1,"0,1",1,0,0,,,,,,,,
Left_arm,"0,00630542048779029","0,0264992665789138","-0,00833860452056118",0,0,0,"0,00539747144970714","1,64746746495668E-06","-2,52629313007041E-07","9,11481509419398E-10","1,31449992734637E-07","3,51773341127041E-09","1,71389793077299E-06",0,0,0,0,0,0,package://car_urdf/meshes/Left_arm.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://car_urdf/meshes/Left_arm.STL,,robotic arm 3d model-3/Gripper Assembly_11-1/Gripper 1_17-1,Origin_Left_arm_joint,Eje16,Left_arm_joint,revolute,"-0,0025844","0,030641","3,5997E-05",0,0,0,Left_gear,0,0,1,"0,1",1,0,0,,,,,,,,
Rigth_gear,"-0,000446050700060208","0,00559552490810192","-0,0019939810406126",0,0,0,"0,00264161328462974","3,63349411456806E-07","-1,82451043925114E-08","1,16848800201601E-09","9,0950833728359E-08","2,54131845406138E-10","4,4722339189378E-07",0,0,0,0,0,0,package://car_urdf/meshes/Rigth_gear.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://car_urdf/meshes/Rigth_gear.STL,,robotic arm 3d model-3/Gripper Assembly_11-1/gear1_12-1,Origin_Right_gear_joint,Eje13,Rigth_gear_joint,revolute,"0,0178729072833145","0,0379999959318534","-0,00924982705729846",0,"1,5707963267949",0,Wrist_pitch,"0,0139274180837466",0,"0,999903008809115","0,1",1,0,0,,,,,,,,
Right_arm,"-0,00642854067390169","0,0265248882577793","-0,00816128121125931",0,0,0,"0,00539747143090489","1,64947607831963E-06","2,46520706715009E-07","8,83508303122064E-10","1,29440966549054E-07","-3,43259166645102E-09","1,71389829722196E-06",0,0,0,0,0,0,package://car_urdf/meshes/Right_arm.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://car_urdf/meshes/Right_arm.STL,,robotic arm 3d model-3/Gripper Assembly_11-1/Gripper 1_17-2,Origin_Right_arm_joint,Eje15,Right_arm_joint,revolute,"0,0010108","0,030733","-1,408E-05",0,0,0,Rigth_gear,0,0,1,"0,1",1,0,0,,,,,,,,
Left_Link,"-0,00144581741485969","0,015434991461444","-0,00198005552093664",0,0,0,"0,000798762413184691","1,02091108447245E-07","9,04503030470954E-09","3,24974508213853E-11","4,46360296367216E-09","-1,25986138179572E-10","1,04423773010116E-07",0,0,0,0,0,0,package://car_urdf/meshes/Left_Link.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://car_urdf/meshes/Left_Link.STL,,robotic arm 3d model-3/Gripper Assembly_11-1/grip link 1_14-3,Origin_Left_link_joint,Eje18,Left_Link_joint,revolute,"0,018124","0,058","0,0087484",0,"1,5708",0,Wrist_pitch,0,0,1,"0,1",1,0,0,,,,,,,,
Rigth_Link,"0,000194111140012471","0,0154984092987498","-0,00200289770703868",0,0,0,"0,000798762413184691","1,0290168438821E-07","-1,42171451807203E-09","2,12071257408385E-11","3,65286976237582E-09","1,98027331795871E-11","1,04423930270447E-07",0,0,0,0,0,0,package://car_urdf/meshes/Rigth_Link.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://car_urdf/meshes/Rigth_Link.STL,,robotic arm 3d model-3/Gripper Assembly_11-1/grip link 1_14-4,Origin_Right_link_joint,Eje17,Rigth_Link_joint,revolute,"0,017984","0,058","-0,0012506",0,"1,5708",0,Wrist_pitch,0,0,1,"0,1",1,0,0,,,,,,,,
